Z,t
0.18,1400
0.19,1400
0.2,1400
0.21,1400
0.22,1400
0.23,1400
0.24,1400
0.25,1400
0.26,1400
0.27,1400
0.28,1400
0.29,1400
0.3,1400
0.31,1400
0.32,1400
0.33,1400
0.34,1400
0.35,1400
0.36,1400
0.37,1400
0.38,1400
0.39,1400
0.4,1400
0.41,1400
0.42,1400
0.43,1400
0.44,1400
0.45,1400
0.46,1400
0.47,1400
0.48,1400
0.49,1400
0.5,1400
0.51,1400
0.52,1400
0.53,1400
0.54,1400
0.55,1400
0.56,1400
0.57,1400
0.58,1400
0.59,1400
0.6,1400
0.61,1400
0.62,1400
0.63,1400
0.64,1400
0.65,1400
0.66,1400
0.67,1400
0.68,1400
0.69,1400
0.7,1400
0.71,1400
0.72,1400
0.73,1400
0.74,1400
0.75,1400
0.76,1400
0.77,1400
0.78,1400
0.79,1400
0.8,1400
0.81,1400
0.82,1400
0.83,1400
0.84,1400
0.85,1400
0.86,1400
0.87,1400
0.88,1400
0.89,1400
0.9,1400
0.91,1400
0.92,1400
0.93,1400
0.94,1400
0.95,1400
0.96,1400
0.97,1400
0.98,1400
0.99,1400
1,1400
0,2000
0.01,2000
0.02,2000
0.03,2000
0.04,2000
0.05,2000
0.06,2000
0.07,2000
0.08,2000
0.09,2000
0.1,2000
0.11,2000
0.12,2000
0.13,2000
0.14,2000
0.15,2000
0.16,2000
0.17,2000
0.18,2000
0.19,2000
0.2,2000
0.21,2000
0.22,2000
0.23,2000
0.24,2000
0.25,2000
0.26,2000
0.27,2000
0.28,2000
0.29,2000
0.3,2000
0.31,2000
0.32,2000
0.33,2000
0.34,2000
0.35,2000
0.36,2000
0.37,2000
0.38,2000
0.39,2000
0.4,2000
0.41,2000
0.42,2000
0.43,2000
0.44,2000
0.45,2000
0.46,2000
0.47,2000
0.48,2000
0.49,2000
0.5,2000
0.51,2000
0.52,2000
0.53,2000
0.54,2000
0.55,2000
0.56,2000
0.57,2000
0.58,2000
0.59,2000
0.6,2000
0.61,2000
0.62,2000
0.63,2000
0.64,2000
0.65,2000
0.66,2000
0.67,2000
0.68,2000
0.69,2000
0.7,2000
0.71,2000
0.72,2000
0.73,2000
0.74,2000
0.75,2000
0.76,2000
0.77,2000
0.78,2000
0.79,2000
0.8,2000
0.81,2000
0.82,2000
0.83,2000
0.84,2000
0.85,2000
0.86,2000
0.87,2000
0.88,2000
0.89,2000
0.9,2000
0.91,2000
0.92,2000
0.93,2000
0.94,2000
0.95,2000
0.96,2000
0.97,2000
0.98,2000
0.99,2000
1,2000
0,3000
0.01,3000
0.02,3000
0.03,3000
0.04,3000
0.05,3000
0.06,3000
0.07,3000
0.08,3000
0.09,3000
0.1,3000
0.11,3000
0.12,3000
0.13,3000
0.14,3000
0.15,3000
0.16,3000
0.17,3000
0.18,3000
0.19,3000
0.2,3000
0.21,3000
0.22,3000
0.23,3000
0.24,3000
0.25,3000
0.26,3000
0.27,3000
0.28,3000
0.29,3000
0.3,3000
0.31,3000
0.32,3000
0.33,3000
0.34,3000
0.35,3000
0.36,3000
0.37,3000
0.38,3000
0.39,3000
0.4,3000
0.41,3000
0.42,3000
0.43,3000
0.44,3000
0.45,3000
0.46,3000
0.47,3000
0.48,3000
0.49,3000
0.5,3000
0.51,3000
0.52,3000
0.53,3000
0.54,3000
0.55,3000
0.56,3000
0.57,3000
0.58,3000
0.59,3000
0.6,3000
0.61,3000
0.62,3000
0.63,3000
0.64,3000
0.65,3000
0.66,3000
0.67,3000
0.68,3000
0.69,3000
0.7,3000
0.71,3000
0.72,3000
0.73,3000
0.74,3000
0.75,3000
0.76,3000
0.77,3000
0.78,3000
0.79,3000
0.8,3000
0.81,3000
0.82,3000
0.83,3000
0.84,3000
0.85,3000
0.86,3000
0.87,3000
0.88,3000
0.89,3000
0.9,3000
0.91,3000
0.92,3000
0.93,3000
0.94,3000
0.95,3000
0.96,3000
0.97,3000
0.98,3000
0.99,3000
1,3000
0,10000
0.01,10000
0.02,10000
0.03,10000
0.04,10000
0.05,10000
0.06,10000
0.07,10000
0.08,10000
0.09,10000
0.1,10000
0.11,10000
0.12,10000
0.13,10000
0.14,10000
0.15,10000
0.16,10000
0.17,10000
0.18,10000
0.19,10000
0.2,10000
0.21,10000
0.22,10000
0.23,10000
0.24,10000
0.25,10000
0.26,10000
0.27,10000
0.28,10000
0.29,10000
0.3,10000
0.31,10000
0.32,10000
0.33,10000
0.34,10000
0.35,10000
0.36,10000
0.37,10000
0.38,10000
0.39,10000
0.4,10000
0.41,10000
0.42,10000
0.43,10000
0.44,10000
0.45,10000
0.46,10000
0.47,10000
0.48,10000
0.49,10000
0.5,10000
0.51,10000
0.52,10000
0.53,10000
0.54,10000
0.55,10000
0.56,10000
0.57,10000
0.58,10000
0.59,10000
0.6,10000
0.61,10000
0.62,10000
0.63,10000
0.64,10000
0.65,10000
0.66,10000
0.67,10000
0.68,10000
0.69,10000
0.7,10000
0.71,10000
0.72,10000
0.73,10000
0.74,10000
0.75,10000
0.76,10000
0.77,10000
0.78,10000
0.79,10000
0.8,10000
0.81,10000
0.82,10000
0.83,10000
0.84,10000
0.85,10000
0.86,10000
0.87,10000
0.88,10000
0.89,10000
0.9,10000
0.91,10000
0.92,10000
0.93,10000
0.94,10000
0.95,10000
0.96,10000
0.97,10000
0.98,10000
0.99,10000
1,10000
0,1000
0.01,1000
0.02,1000
0.03,1000
0.04,1000
0.05,1000
0.06,1000
0.07,1000
0.08,1000
0.09,1000
0.1,1000
0.11,1000
0.12,1000
0.13,1000
0.14,1000
0.15,1000
0.16,1000
0.17,1000
0.18,1000
0.19,1000
0.2,1000
0.21,1000
0.22,1000
0.23,1000
0.24,1000
0.25,1000
0.26,1000
0.27,1000
0.28,1000
0.29,1000
0.3,1000
0.31,1000
0.32,1000
0.33,1000
0.34,1000
0.35,1000
0.36,1000
0.37,1000
0.38,1000
0.39,1000
0.4,1000
0.41,1000
0.42,1000
0.43,1000
0.44,1000
0.45,1000
0.46,1000
0.47,1000
0.48,1000
0.49,1000
0.5,1000
0.51,1000
0.52,1000
0.53,1000
0.54,1000
0.55,1000
0.56,1000
0.57,1000
0.58,1000
0.59,1000
0.6,1000
0.61,1000
0.62,1000
0.63,1000
0.64,1000
0.65,1000
0.66,1000
0.67,1000
0.68,1000
0.69,1000
0.7,1000
0.71,1000
0.72,1000
0.73,1000
0.74,1000
0.75,1000
0.76,1000
0.77,1000
0.78,1000
0.79,1000
0.8,1000
0.81,1000
0.82,1000
0.83,1000
0.84,1000
0.85,1000
0.86,1000
0.87,1000
0.88,1000
0.89,1000
0.9,1000
0.91,1000
0.92,1000
0.93,1000
0.94,1000
0.95,1000
0.96,1000
0.97,1000
0.98,1000
0.99,1000
1,1000
